timestamp,content,textblob_sentiment,vader_sentiment
2024-06-05 22:46:42,$PYPLfinally getting close to$SQ. Invested more in$PYPLthan$SQ,0.5,0.0
2024-06-05 22:21:11,$SQwhere is the news of being added to SP500 on friday ? On what bases?,0.0,0.0
2024-06-05 21:59:12,$SQ66.50+ tomorrow,0.0,0.0
2024-06-05 21:50:51,"$SQEveryone got a trophy today. 
Gtfo",0.0,0.0
2024-06-05 21:31:34,"$SQI’m hoping for another 64 and 63 to add more calls. This thing is ready to bounce to 70. After that, who knows.",0.35,0.6486
2024-06-05 20:29:26,$PLTR$SQS&P rebalancing announcement this Friday.,0.0,0.0
2024-06-05 19:32:54,$SQnot looking good folks…,0.7,0.4404
2024-06-05 18:57:54,$SQCongrats if you entered same time I did this morning. This thing will fly when we eventually get our rate cuts. We all got in early 🚀🚀Bullish,0.3,-0.296
2024-06-05 17:45:23,"$PGYWhite label BNPL for big banks powered by Pagaya  can be enormous! Potentionally disrupt ""disruptors""  like$AFRM$SQ$PYPLPagaya with such a deal and partnership with Citi and alikes can be $100B+ market cap in 3 yearsBullish",0.0,0.0
2024-06-05 02:55:36,$PGYAnalyst spoke with Investor Relations at one of the recent conferences,0.0,0.0
2024-06-05 17:43:22,$SQLOAD THE BOAT $67 INBOUND NEXT WEEKBullish,0.0,0.0
2024-06-05 17:34:05,$SQget in before it’s too late 🙏 it’s best when we all make money together!,0.35,0.6696
2024-06-04 19:06:59,$SQlast dip before we get added to S&P 500 on Friday. 10-15% up from there!,0.0,0.0
2024-06-05 17:11:25,"$SQWhen I see overwhelming bearish sentiment, I buy.Bullish",0.5,0.0
2024-06-05 17:07:41,$SQnever got weekly up. Daily 200 now. I’m longBullish,0.0,0.0
2024-05-16 18:14:15,$SQwatching for weekly up rotation to size longBullish,0.0,0.0
2024-06-05 17:07:13,"$SQholding, we may see green day tomorrow also",-0.2,0.0
2024-06-05 17:04:29,"$SQStill trailing the gain on the Q's, we should be at least the same %",-0.15,0.5267
2024-06-05 17:03:01,$SQAlready up since buying this morningBullish,0.0,0.0
2024-06-05 17:02:15,$SQmay close red,0.0,0.0
2024-06-05 16:56:28,$SQconsider selling here…,0.0,0.0
2024-06-05 16:49:33,$SQTook some calls here off the 200D SMA$ORCL$140 after ER? 🤔Bullish,0.0,0.0
2024-06-05 16:28:53,$SQAustralia moves to rein in buy-now-pay-later with credit check law -reuters.com/business/financ...,0.0,0.3818
