date,symbol,action,quantity,price,status
2022-12-07T16:17:32.971143Z,HOOD,buy,0.214786,9.265,filled
2022-11-21T18:31:02.020993Z,SQ,buy,0.01629,61.385,filled
2022-11-15T16:04:45.730313Z,SPY,sell,0.256566,400.02,filled
2022-11-15T16:04:34.629482Z,HMC,sell,4.65696,23.8812,filled
2022-11-15T16:04:23.057529Z,HOOD,sell,19.981898,10.0701,filled
2022-11-15T16:04:11.622107Z,QQQ,sell,0.359835,291.04,filled
2022-11-15T16:04:00.475210Z,AAPL,sell,0.728889,152.06,filled
2022-11-15T16:03:41.362272Z,AMZN,sell,1.114765,100.43,filled
2022-11-15T16:03:15.913676Z,SHOP,sell,3.130693,40.765,filled
2022-11-14T16:32:44.568987Z,HOOD,buy,10.235296,9.775,filled
2022-11-14T13:02:21.030306Z,HOOD,sell,29.55613,10.16,filled
2022-11-10T16:21:54.324627Z,MSFT,buy,0.004188,238.755,filled
2022-11-10T16:21:37.307342Z,AMD,buy,0.014895,67.1394,filled
2022-11-10T16:21:20.778292Z,SQ,buy,0.015129,66.095,filled
2022-11-10T16:19:58.197314Z,HMC,buy,4.19898,23.335,filled
2022-11-10T16:19:34.168603Z,SPY,buy,0.25115,390.205,filled
2022-11-10T16:19:20.661081Z,QQQ,buy,0.356073,278.0445,filled
2022-11-10T16:18:31.605785Z,HOOD,buy,21.822149,9.165,filled
2022-11-08T14:33:43.111812Z,HOOD,buy,8.996851,11.115,filled
2022-11-07T19:07:42.066396Z,QQQ,buy,0.003762,265.815,filled
2022-11-07T18:56:41.974467Z,AMZN,buy,1.114765,89.705,filled
2022-11-07T18:56:13.366504Z,AAPL,buy,0.728889,137.195,filled
2022-11-07T18:55:31.945527Z,HOOD,buy,8.403573,11.8997,filled
2022-11-07T18:55:07.634540Z,SHOP,buy,3.130693,31.9404,filled
2022-11-07T14:37:51.196633Z,SQ,sell,31.013073,62.505,filled
2022-11-03T17:32:14.141248Z,SQ,sell,5.195287,53.895,filled
2022-11-03T13:30:06.830913Z,SQ,buy,2.766427,53.5,filled
2022-10-28T15:00:49.937995Z,SQ,buy,33.402922,59.875,filled
2022-10-24T15:03:21.121041Z,SPY,buy,0.005416,376.64,filled
2022-10-24T15:02:59.591079Z,SQ,buy,0.039011,54.855,filled
2022-10-21T12:23:20.753225Z,AAPL,sell,0.688355,141.76,filled
2022-10-21T12:23:02.160501Z,SHEL,sell,1.906032,51.32,filled
2022-10-21T13:30:02.277223Z,HON,sell,0.557662,177.465,filled
2022-10-21T13:30:01.114829Z,MCD,sell,0.399332,250.01,filled
2022-10-21T13:32:26.034490Z,PG,sell,0.786132,126.5,filled
2022-10-21T12:21:34.599283Z,AMZN,sell,1.0,113.2,filled
2022-10-21T12:20:57.448800Z,STLA,sell,1.988403,12.46,filled
2022-10-21T12:20:28.013572Z,AMD,sell,1.683274,56.965,filled
2022-10-21T12:20:13.348758Z,GOOGL,sell,0.987122,97.93,filled
2022-10-21T13:33:08.767073Z,SQ,sell,2.543687,54.16,filled
2022-10-21T12:18:24.112331Z,ARKK,sell,4.47,34.545,filled
2022-10-20T15:32:37.100236Z,AMD,buy,1.514768,59.415,filled
2022-10-20T15:32:13.569213Z,AAPL,buy,0.619506,145.2769,filled
2022-10-20T15:30:05.403459Z,MCD,buy,0.135733,250.49,filled
2022-10-20T15:27:52.771801Z,GOOGL,buy,0.888406,101.305,filled
2022-10-20T15:27:23.690910Z,HON,buy,0.557662,179.32,filled
2022-10-20T15:25:38.050231Z,SHEL,buy,1.906032,52.465,filled
2022-10-20T15:24:45.483161Z,MCD,buy,0.263599,250.3976,filled
2022-10-20T15:23:25.366146Z,PG,buy,0.786132,127.2092,filled
2022-10-20T15:22:37.875385Z,STLA,buy,1.988403,12.935,filled
2022-10-20T15:22:11.777042Z,HMC,buy,0.45798,21.835,filled
2022-10-20T15:21:54.754636Z,GOOGL,buy,0.098716,101.3,filled
2022-10-20T15:21:34.702511Z,AAPL,buy,0.068849,145.245,filled
2022-10-20T15:21:17.681639Z,AMD,buy,0.168506,59.345,filled
2022-10-20T15:16:51.448673Z,HOOD,sell,10.4,10.375,filled
2022-10-20T15:16:30.813015Z,SQ,buy,2.4,57.5693,filled
2022-10-20T15:15:09.217279Z,ARKK,buy,4.47,36.68,filled
2022-10-20T13:43:02.314671Z,SQ,buy,0.143687,55.05,filled
2022-10-19T16:17:31.385902Z,SQ,sell,2.437288,54.88,filled
2022-10-19T16:17:16.672635Z,ARKK,sell,4.47,35.605,filled
2022-10-19T15:59:07.918571Z,HOOD,buy,9.960258,10.0399,filled
2022-10-18T15:41:01.899832Z,SQ,sell,0.269735,55.601,filled
2022-10-17T17:42:51.640535Z,HOOD,buy,0.519901,10.175,filled
2022-10-17T15:41:54.499881Z,AMZN,buy,1.0,113.22,filled
